system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Red,SWIR,Urban,.geo
2160,0.07271749999999999,11,0.09730249999999999,-0.22053324,0.6079552,0.3059175,1.0550001,0.0745875,0.19536750000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9770663416181518,6.547775190182986]}"
2161,0.030298749999999985,12,0.06987125,-0.20377132,0.6265307,0.24705375000000002,7.585,0.05672624999999998,0.16341250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9757188686919727,6.440785839844351]}"
2162,0.06511375,9,0.09926875000000002,-0.118287794,0.5811302,0.2814975,0.45,0.07457375,0.22194625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.058992695529852,6.649374648816905]}"
2163,0.0472525,11,0.08715499999999998,-0.28105184,0.71193296,0.34978000000000004,0.45499998,0.05885750000000001,0.1963025,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.090254067417211,6.665274829345821]}"
2164,0.053495000000000015,0,0.08732000000000001,-0.28151277,0.57462114,0.22652499999999998,0.39,0.061195,0.12700250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.171102442987968,6.527024107119826]}"
2165,0.023877499999999996,9,0.07244250000000002,-0.36698136,0.71502787,0.3235175,0.76,0.05375624999999999,0.14981375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.830730781835082,6.501152626937183]}"
2166,0.03915375,11,0.07380375,-0.33415124,0.772703,0.37721125,0.65,0.04836625,0.18825875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9102316844796596,6.634552446628932]}"
2167,0.028552499999999995,11,0.05489749999999999,-0.2764245,0.7697259,0.28368375,0.83500004,0.03691249999999999,0.16081375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7002954025809274,6.515974829125156]}"
2168,0.033763749999999995,5,0.06543000000000002,-0.34261087,0.6432934,0.24638000000000002,1.045,0.053481249999999994,0.12063625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1424416111427043,6.437282410236286]}"
2169,0.020604999999999984,7,0.050277499999999975,-0.3603307,0.788613,0.28301,1.0799999,0.03344749999999999,0.13307999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6760408899097,6.623772663219499]}"
2170,0.10069875,34,0.13011,-0.021839058,0.29686555,0.2612025,1.1,0.14161875,0.2500375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.006710745994096,6.61649630941813]}"
2171,0.030917499999999987,0,0.072855,-0.3429192,-0.20783931,0.054869999999999974,3.3449998,0.08366249999999997,0.026847499999999996,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.559888723673046,6.481749016800202]}"
2172,0.03915375,11,0.06435749999999998,-0.29381907,0.67193323,0.26541000000000003,1.7149999,0.05207874999999998,0.14486375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.937450637588481,6.486869413919683]}"
2173,0.04816000000000001,13,0.08542250000000001,-0.16576564,0.6150928,0.2714325,0.845,0.06468750000000001,0.19424000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.9357392642668025,6.494415262306287]}"
2174,0.0343,2,0.07090249999999998,-0.2679973,0.6540586,0.270635,3.0500002,0.0566025,0.156235,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9552372802140474,6.445367247793361]}"
2175,0.023753750000000004,5,0.05185875000000001,-0.35487962,0.83093524,0.32321500000000003,0.56,0.029844999999999997,0.1538975,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7938100236577696,6.587929883383129]}"
2176,0.021732499999999988,0,0.06411,-0.011294359,0.3245083,0.078795,0.71000004,0.040185,0.07703500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.101572839997117,6.504117067374778]}"
2177,0.03705,17,0.08017000000000002,-0.2136241,0.6129751,0.2948075,2.63,0.07073750000000001,0.19102249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.612709662379274,6.436743421065814]}"
2178,0.03223749999999999,8,0.07273125,-0.27027035,0.6887375,0.29963375000000003,1.6700001,0.055227499999999985,0.17213,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2723380012263874,6.407907500445577]}"
2179,0.0637525,14,0.099695,-0.3316037,0.39326602,0.22422875,0.49,0.09764624999999999,0.11255124999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.189428074784007,6.431892518531568]}"
2180,0.03146750000000001,0,0.07021499999999997,-0.005860118,-0.16320199,0.04956250000000001,10.889999,0.06889499999999998,0.048985,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3882206728778055,6.472855695487419]}"
2181,0.05009875,14,0.09172,-0.054379545,0.44121492,0.24727375,2.82,0.0958725,0.2217675,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8517513594834787,6.4547995582766164]}"
2182,0.023877499999999996,14,0.05718000000000001,-0.33900303,0.7850969,0.2981625,0.52,0.03589500000000001,0.14718750000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7884201319530524,6.590624829235488]}"
2183,0.023052500000000004,0,0.05764750000000002,-0.11757888,0.029760774,0.054237499999999994,0.45499998,0.051102499999999995,0.042825,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.134181684810656,6.503847572789542]}"
