system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
821,0.07906999999999997,16,0.07136999999999999,-0.4527211,-0.34258595,0.12813000000000002,52.0,12.487878,0.26167,0.04827000000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2567073152827075,6.473933673828362]}"
822,0.08029375,4,0.08159999999999998,-0.33211538,-0.16202234,0.243355,0.0,2.140693,0.33746,0.12201124999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.010483670187398,6.582539991678412]}"
823,0.10624,4,0.12129625,-0.22381599,-0.12340312,0.17175875,59.0,12.4460535,0.22011750000000002,0.10893499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.543449553973659,6.460728439151805]}"
824,0.057784999999999975,22,0.045107499999999995,-0.4433608,-0.29875597,0.14078000000000002,8.0,2.3721006,0.260735,0.05429250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6207944999363497,6.689529342017047]}"
825,0.09191250000000001,19,0.08877750000000001,-0.3479832,-0.2511563,0.12122749999999999,31.0,11.6735525,0.20254500000000003,0.05863750000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.549108940263612,6.66204089432299]}"
826,0.06731375,21,0.06387625,-0.3161581,-0.22856097,0.16983375,9.0,8.595941,0.27047,0.08824125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7221244639850317,6.6461407137940745]}"
827,0.02820874999999999,0,0.030064999999999995,-0.18431494,-0.3971018,0.01921624999999999,0.0,0.7555724,0.044529999999999986,0.013234999999999997,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.197512912341082,6.551278619791053]}"
828,0.06170375,16,0.05887125,-0.39644864,-0.2659729,0.16554375,0.0,1.1018639,0.2855125,0.07154875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8970264498031026,6.656381508033037]}"
829,0.08514749999999999,4,0.08066499999999999,-0.35866055,-0.15412857,0.2024625,0.0,0.5935436,0.276245,0.09556999999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.96547807445301,6.488486381431098]}"
830,0.06720374999999998,6,0.05397625,-0.42926753,-0.2912887,0.19102249999999998,10.0,3.5487216,0.3480475,0.07627874999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.00419088891671,6.455338547447088]}"
